"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 14, 2019","78.5847","78.9014","78.9244","78.3297","-","-0.31%"
"Oct 11, 2019","78.8301","78.0250","78.8460","77.9902","-","1.14%"
"Oct 10, 2019","77.9441","77.9193","78.3021","77.8291","-","0.03%"
"Oct 09, 2019","77.9236","77.8996","78.4370","77.8436","-","0.05%"
"Oct 08, 2019","77.8811","77.6985","77.9185","77.2816","-","0.22%"
"Oct 07, 2019","77.7125","77.8879","78.0913","77.6966","-","-0.28%"
"Oct 04, 2019","77.9329","77.8506","78.0146","77.6942","-","0.25%"
"Oct 03, 2019","77.7387","77.6216","77.8172","77.0414","-","0.28%"
"Oct 02, 2019","77.5202","78.0164","78.0681","77.2999","-","-0.44%"
"Oct 01, 2019","77.8662","77.8528","77.9300","77.6680","-","0.11%"
"Sep 30, 2019","77.7797","78.3689","78.4170","77.7679","-","-0.72%"
"Sep 27, 2019","78.3400","78.4940","78.5285","77.9751","-","-0.38%"
"Sep 26, 2019","78.6349","78.9361","79.2356","78.2210","-","-0.35%"
"Sep 25, 2019","78.9079","79.2176","79.2632","78.5360","-","-0.57%"
"Sep 24, 2019","79.3596","79.6719","79.7438","79.2467","-","-0.63%"
"Sep 23, 2019","79.8663","79.4405","79.8776","79.1066","-","0.84%"
"Sep 20, 2019","79.1971","79.5446","79.7594","79.1624","-","-0.25%"
"Sep 19, 2019","79.3975","79.3565","79.8708","79.2239","-","-0.14%"
"Sep 18, 2019","79.5077","79.7869","80.0328","79.3037","-","-0.49%"
"Sep 17, 2019","79.8979","80.9456","81.1491","79.6616","-","-1.84%"
"Sep 16, 2019","81.3979","80.6305","81.4445","80.0302","-","3.43%"
"Sep 13, 2019","78.6973","78.5749","78.9754","78.3945","-","0.16%"
"Sep 12, 2019","78.5686","78.3651","78.6493","77.7746","-","0.46%"
"Sep 11, 2019","78.2050","78.7811","79.0465","78.1168","-","-0.70%"
"Sep 10, 2019","78.7577","78.5419","79.0007","78.4209","-","0.39%"
"Sep 09, 2019","78.4510","77.9817","78.6083","77.9336","-","0.73%"
"Sep 06, 2019","77.8857","77.9443","78.1324","77.2807","-","-0.19%"
"Sep 05, 2019","78.0326","78.3335","78.6025","78.0042","-","-0.49%"
"Sep 04, 2019","78.4199","77.1456","78.4934","77.1128","-","1.83%"
"Sep 03, 2019","77.0083","77.0331","77.1125","76.4039","-","0.01%"
"Aug 30, 2019","77.0044","77.4029","77.6935","76.9486","-","-0.62%"
"Aug 29, 2019","77.4875","77.1714","77.6605","77.1227","-","0.41%"
"Aug 28, 2019","77.1685","76.7789","77.2870","76.6368","-","0.76%"
"Aug 27, 2019","76.5842","76.3799","76.6082","76.2963","-","0.31%"
"Aug 26, 2019","76.3498","76.1223","76.7341","76.0530","-","0.37%"
"Aug 23, 2019","76.0653","76.3916","76.5086","75.6843","-","-0.46%"
"Aug 22, 2019","76.4193","76.7447","76.8929","76.3852","-","-0.49%"
"Aug 21, 2019","76.7980","76.7679","77.1258","76.7144","-","0.14%"
"Aug 20, 2019","76.6926","76.7135","76.8602","76.3935","-","0.04%"
"Aug 19, 2019","76.6591","76.6581","76.8473","76.3010","-","-0.15%"
"Aug 16, 2019","76.7728","76.8769","77.0122","76.5807","-","0.09%"
"Aug 15, 2019","76.7023","76.9219","77.0525","76.4418","-","-0.20%"
"Aug 14, 2019","76.8568","77.4038","77.5514","76.6122","-","-0.94%"
"Aug 13, 2019","77.5890","76.9213","77.7550","76.5881","-","0.99%"
"Aug 12, 2019","76.8250","77.3004","77.4279","76.6904","-","-0.77%"
"Aug 09, 2019","77.4239","77.0613","77.6824","76.9718","-","0.50%"
"Aug 08, 2019","77.0403","76.7230","77.1973","76.4504","-","1.40%"
"Aug 07, 2019","75.9747","76.6746","76.6901","75.7148","-","-0.65%"
"Aug 06, 2019","76.4699","77.0597","77.1389","76.4339","-","-0.38%"
"Aug 05, 2019","76.7648","76.9585","77.0617","76.2460","-","-0.60%"
"Aug 02, 2019","77.2259","77.2432","77.3915","77.0118","-","0.28%"
"Aug 01, 2019","77.0081","78.5229","78.5793","76.9102","-","-2.48%"
"Jul 31, 2019","78.9631","79.2317","79.3622","78.8997","-","-0.15%"
"Jul 30, 2019","79.0834","79.0976","79.2588","78.7540","-","0.09%"
"Jul 29, 2019","79.0108","78.8653","79.0649","78.6687","-","0.34%"
"Jul 26, 2019","78.7409","79.0168","79.0959","78.6473","-","-0.32%"
"Jul 25, 2019","78.9962","79.3252","79.6503","78.9651","-","-0.41%"
"Jul 24, 2019","79.3244","79.5134","79.9233","79.1751","-","-0.10%"
"Jul 23, 2019","79.4026","79.2281","79.4949","78.8803","-","0.29%"
"Jul 22, 2019","79.1710","79.4913","79.7235","79.1580","-","-0.26%"
"Jul 19, 2019","79.3793","79.6435","79.7323","79.2060","-","0.59%"
"Jul 18, 2019","78.9159","79.5909","79.7929","78.7589","-","-0.83%"
"Jul 17, 2019","79.5778","79.5505","80.0784","79.4626","-","-0.09%"
"Jul 16, 2019","79.6459","80.3934","80.5985","79.5225","-","-1.13%"
"Jul 15, 2019","80.5539","80.9332","81.1799","80.4894","-","-0.58%"
"Jul 12, 2019","81.0222","80.5972","81.1174","80.4891","-","0.58%"
"Jul 11, 2019","80.5555","80.6806","80.8854","80.3698","-","0.02%"
"Jul 10, 2019","80.5401","79.1963","80.5602","79.1793","-","1.78%"
"Jul 09, 2019","79.1321","78.8130","79.1658","78.4677","-","0.14%"
"Jul 08, 2019","79.0247","79.3196","79.6137","78.8748","-","-0.11%"
"Jul 05, 2019","79.1142","78.9960","79.1889","78.6881","-","-0.10%"
"Jul 03, 2019","79.1968","78.3068","79.2083","78.1142","-","1.44%"
"Jul 02, 2019","78.0716","79.0840","79.2970","78.0445","-","-1.23%"
"Jul 01, 2019","79.0432","80.0299","80.2052","78.8075","-","-0.77%"
"Jun 28, 2019","79.6530","80.3179","80.5940","79.5861","-","-0.66%"
"Jun 27, 2019","80.1860","80.0912","80.2359","79.8882","-","0.05%"
"Jun 26, 2019","80.1435","79.8995","80.4129","79.8662","-","0.38%"
"Jun 25, 2019","79.8384","79.6906","80.1966","79.4778","-","0.45%"
"Jun 24, 2019","79.4779","79.1625","79.4882","79.0180","-","0.81%"
"Jun 21, 2019","78.8373","79.4601","79.5254","78.7980","-","-0.41%"
"Jun 20, 2019","79.1627","78.2571","79.3723","78.2266","-","1.79%"
"Jun 19, 2019","77.7705","78.1343","78.2569","77.7047","-","-0.61%"
"Jun 18, 2019","78.2444","77.5371","78.6410","77.4305","-","0.59%"
"Jun 17, 2019","77.7867","78.1850","78.2206","77.7443","-","-0.05%"
"Jun 14, 2019","77.8285","77.6251","78.1212","77.5893","-","0.28%"
"Jun 13, 2019","77.6085","77.1422","77.8831","77.0547","-","0.68%"
"Jun 12, 2019","77.0809","77.1774","77.5205","76.8836","-","-0.50%"
"Jun 11, 2019","77.4684","77.1264","77.5612","76.9993","-","0.58%"
"Jun 10, 2019","77.0245","76.9634","77.3814","76.7751","-","-0.16%"
"Jun 07, 2019","77.1480","77.3399","77.4773","76.8543","-","0.05%"
"Jun 06, 2019","77.1058","76.5191","77.1511","76.4407","-","0.81%"
"Jun 05, 2019","76.4862","77.4018","77.6440","76.3485","-","-1.57%"
"Jun 04, 2019","77.7057","77.6533","77.7876","77.2799","-","0.32%"
"Jun 03, 2019","77.4592","77.6102","78.1030","77.3517","-","-0.32%"
"May 31, 2019","77.7043","78.8336","78.8890","77.6845","-","-1.76%"
"May 30, 2019","79.0979","79.3606","79.6110","79.0278","-","-0.37%"
"May 29, 2019","79.3883","79.6496","79.8314","78.9158","-","0.00%"
"May 28, 2019","79.3859","79.2485","79.5034","79.0690","-","0.86%"
"May 24, 2019","78.7052","78.1426","78.7109","78.1305","-","0.95%"
"May 23, 2019","77.9647","78.7786","78.8244","77.8329","-","-1.25%"
"May 22, 2019","78.9523","79.7213","79.7290","78.8703","-","-1.03%"
"May 21, 2019","79.7764","80.1907","80.2072","79.6511","-","-0.19%"
"May 20, 2019","79.9291","80.1840","80.2659","79.8456","-","0.28%"
"May 17, 2019","79.7043","80.4313","80.4411","79.6335","-","-0.75%"
"May 16, 2019","80.3030","79.8744","80.4121","79.8309","-","0.82%"
"May 15, 2019","79.6536","79.3237","79.9882","79.2521","-","0.40%"
"May 14, 2019","79.3386","78.6357","79.4996","78.4459","-","1.27%"
"May 13, 2019","78.3414","78.3938","78.8460","78.1427","-","-0.41%"
"May 10, 2019","78.6618","79.0417","79.0475","78.5226","-","0.13%"
"May 09, 2019","78.5600","78.6819","78.9086","78.1492","-","-0.56%"
"May 08, 2019","79.0004","79.2248","79.2792","78.8150","-","0.04%"
"May 07, 2019","78.9692","79.4341","79.5163","78.7259","-","-0.64%"
"May 06, 2019","79.4748","78.9859","79.5851","78.9415","-","-0.46%"
"May 03, 2019","79.8386","79.7512","80.1472","79.6417","-","0.17%"
"May 02, 2019","79.6998","80.3345","80.3381","79.4151","-","-0.90%"
"May 01, 2019","80.4241","80.5345","80.5922","80.0174","-","-0.19%"
"Apr 30, 2019","80.5738","80.4090","81.1220","80.3818","-","0.05%"
"Apr 29, 2019","80.5356","80.7442","80.8116","80.3871","-","-0.28%"
"Apr 26, 2019","80.7614","81.1587","81.2688","80.5708","-","-0.56%"
